Date,spx
1994-01-07,469.899993896484
1994-01-10,475.269989013672
1994-01-11,474.130004882813
1994-01-12,474.170013427734
1994-01-13,472.470001220703
1994-01-14,474.910003662109
1994-01-17,473.299987792969
1994-01-18,474.25
1994-01-19,474.299987792969
1994-01-20,474.980010986328
1994-01-21,474.720001220703
1994-01-24,471.970001220703
1994-01-25,470.920013427734
1994-01-26,473.200012207031
1994-01-27,477.049987792969
1994-01-28,478.700012207031
1994-01-31,481.609985351563
1994-02-01,479.619995117188
1994-02-02,482
1994-02-03,480.709991455078
1994-02-04,469.809997558594
1994-02-07,471.760009765625
1994-02-08,471.049987792969
1994-02-09,472.769989013672
1994-02-10,468.929992675781
1994-02-11,470.179992675781
1994-02-14,470.230010986328
1994-02-15,472.519989013672
1994-02-16,472.790008544922
1994-02-17,470.339996337891
1994-02-18,467.690002441406
1994-02-21,467.690002441406
1994-02-22,471.459991455078
1994-02-23,470.690002441406
1994-02-24,464.260009765625
1994-02-25,466.070007324219
1994-02-28,467.140014648438
1994-03-01,464.440002441406
1994-03-02,464.809997558594
1994-03-03,463.010009765625
1994-03-04,464.739990234375
1994-03-07,466.910003662109
1994-03-08,465.880004882813
1994-03-09,467.059997558594
1994-03-10,463.899993896484
1994-03-11,466.440002441406
1994-03-14,467.390014648437
1994-03-15,467.010009765625
1994-03-16,469.420013427734
1994-03-17,470.899993896484
1994-03-18,471.059997558594
1994-03-21,468.540008544922
1994-03-22,468.799987792969
1994-03-23,468.540008544922
1994-03-24,464.350006103516
1994-03-25,460.579986572266
1994-03-28,460
1994-03-29,452.480010986328
1994-03-30,445.549987792969
1994-03-31,445.769989013672
1994-04-01,445.769989013672
1994-04-04,438.920013427734
1994-04-05,448.290008544922
1994-04-06,448.049987792969
1994-04-07,450.880004882812
1994-04-08,447.100006103516
1994-04-11,449.869995117188
1994-04-12,447.570007324219
1994-04-13,446.260009765625
1994-04-14,446.380004882812
1994-04-15,446.179992675781
1994-04-18,442.459991455078
1994-04-19,442.540008544922
1994-04-20,441.959991455078
1994-04-21,448.730010986328
1994-04-22,447.630004882813
1994-04-25,452.709991455078
1994-04-26,451.869995117188
1994-04-27,451.869995117188
1994-04-28,449.100006103516
1994-04-29,450.910003662109
1994-05-02,453.019989013672
1994-05-03,453.029998779297
1994-05-04,451.720001220703
1994-05-05,451.380004882813
1994-05-06,447.820007324219
1994-05-09,442.320007324219
1994-05-10,446.010009765625
1994-05-11,441.489990234375
1994-05-12,443.75
1994-05-13,444.140014648437
1994-05-16,444.489990234375
1994-05-17,449.369995117188
1994-05-18,453.690002441406
1994-05-19,456.480010986328
1994-05-20,454.920013427734
1994-05-23,453.200012207031
1994-05-24,454.809997558594
1994-05-25,456.339996337891
1994-05-26,457.059997558594
1994-05-27,457.329986572266
1994-05-30,457.329986572266
1994-05-31,456.5
1994-06-01,457.630004882813
1994-06-02,457.649993896484
1994-06-03,460.130004882813
1994-06-06,458.880004882812
1994-06-07,458.209991455078
1994-06-08,457.059997558594
1994-06-09,457.859985351563
1994-06-10,458.670013427734
1994-06-13,459.100006103516
1994-06-14,462.369995117188
1994-06-15,460.609985351563
1994-06-16,461.929992675781
1994-06-17,458.450012207031
1994-06-20,455.480010986328
1994-06-21,451.339996337891
1994-06-22,453.089996337891
1994-06-23,449.630004882813
1994-06-24,442.799987792969
1994-06-27,447.309997558594
1994-06-28,446.070007324219
1994-06-29,447.630004882813
1994-06-30,444.269989013672
1994-07-01,446.200012207031
1994-07-04,446.200012207031
1994-07-05,446.369995117188
1994-07-06,446.130004882813
1994-07-07,448.380004882813
1994-07-08,449.549987792969
1994-07-11,448.059997558594
1994-07-12,447.950012207031
1994-07-13,448.730010986328
1994-07-14,453.410003662109
1994-07-15,454.160003662109
1994-07-18,455.220001220703
1994-07-19,453.859985351563
1994-07-20,451.600006103516
1994-07-21,452.609985351563
1994-07-22,453.109985351562
1994-07-25,454.25
1994-07-26,453.359985351563
1994-07-27,452.570007324219
1994-07-28,454.239990234375
1994-07-29,458.260009765625
1994-08-01,461.010009765625
1994-08-02,460.559997558594
1994-08-03,461.450012207031
1994-08-04,458.399993896484
1994-08-05,457.089996337891
1994-08-08,457.890014648438
1994-08-09,457.920013427734
1994-08-10,460.299987792969
1994-08-11,458.880004882812
1994-08-12,461.940002441406
1994-08-15,461.230010986328
1994-08-16,465.010009765625
1994-08-17,465.170013427734
1994-08-18,463.170013427734
1994-08-19,463.679992675781
1994-08-22,462.320007324219
1994-08-23,464.510009765625
1994-08-24,469.029998779297
1994-08-25,468.079986572266
1994-08-26,473.799987792969
1994-08-29,474.589996337891
1994-08-30,476.070007324219
1994-08-31,475.489990234375
1994-09-01,473.170013427734
1994-09-02,470.989990234375
1994-09-05,470.989990234375
1994-09-06,471.859985351562
1994-09-07,470.989990234375
1994-09-08,473.140014648438
1994-09-09,468.179992675781
1994-09-12,466.209991455078
1994-09-13,467.510009765625
1994-09-14,468.799987792969
1994-09-15,474.809997558594
1994-09-16,471.190002441406
1994-09-19,470.850006103516
1994-09-20,463.359985351562
1994-09-21,461.459991455078
1994-09-22,461.269989013672
1994-09-23,459.670013427734
