Date,ftse
1994-01-07,3446
1994-01-10,3440.60009765625
1994-01-11,3413.80004882812
1994-01-12,3372
1994-01-13,3360
1994-01-14,3400.60009765625
1994-01-17,3407.80004882812
1994-01-18,3437
1994-01-19,3475.10009765625
1994-01-20,3470
1994-01-21,3484.19995117187
1994-01-24,3481.39990234375
1994-01-25,3444
1994-01-26,3436.10009765625
1994-01-27,3427.30004882812
1994-01-28,3447.39990234375
1994-01-31,3491.80004882812
1994-02-01,3481.5
1994-02-02,3520.30004882812
1994-02-03,3491.5
1994-02-04,3475.39990234375
1994-02-07,3419.10009765625
1994-02-08,3440.19995117187
1994-02-09,3429.10009765625
1994-02-10,3407
1994-02-11,3378.89990234375
1994-02-14,3363.5
1994-02-15,3393.19995117188
1994-02-16,3417.69995117187
1994-02-17,3425.30004882812
1994-02-18,3382.60009765625
1994-02-21,3350.30004882812
1994-02-22,3333.69995117187
1994-02-23,3341.89990234375
1994-02-24,3267.5
1994-02-25,3281.19995117187
1994-02-28,3328.10009765625
1994-03-01,3270.60009765625
1994-03-02,3248.10009765625
1994-03-03,3246.5
1994-03-04,3278
1994-03-07,3305.89990234375
1994-03-08,3264.39990234375
1994-03-09,3246.69995117187
1994-03-10,3233.89990234375
1994-03-11,3191.89990234375
1994-03-14,3233.39990234375
1994-03-15,3267.39990234375
1994-03-16,3242.89990234375
1994-03-17,3255.69995117187
1994-03-18,3218.10009765625
1994-03-21,3198
1994-03-22,3201.5
1994-03-23,3155.30004882812
1994-03-24,3121.69995117187
1994-03-25,3129
1994-03-28,3129.5
1994-03-29,3123.39990234375
1994-03-30,3092.39990234375
1994-03-31,3086.39990234375
1994-04-01,3086.39990234375
1994-04-04,3086.39990234375
1994-04-05,3116.19995117187
1994-04-06,3131.5
1994-04-07,3129
1994-04-08,3120.80004882813
1994-04-11,3149.39990234375
1994-04-12,3159.10009765625
1994-04-13,3145.80004882812
1994-04-14,3131.69995117187
1994-04-15,3168.30004882812
1994-04-18,3138.19995117187
1994-04-19,3128
1994-04-20,3098.30004882813
1994-04-21,3101.19995117187
1994-04-22,3133.69995117187
1994-04-25,3106.10009765625
1994-04-26,3125.30004882812
1994-04-27,3150
1994-04-28,3129.89990234375
1994-04-29,3125.30004882812
1994-05-02,3125.30004882812
1994-05-03,3100
1994-05-04,3070.5
1994-05-05,3106
1994-05-06,3106
1994-05-09,3097.80004882812
1994-05-10,3136.30004882812
1994-05-11,3130.5
1994-05-12,3137.80004882812
1994-05-13,3119.19995117187
1994-05-16,3115.60009765625
1994-05-17,3123.5
1994-05-18,3116.5
1994-05-19,3122.80004882812
1994-05-20,3127.30004882812
1994-05-23,3108.39990234375
1994-05-24,3089.10009765625
1994-05-25,3020.69995117187
1994-05-26,3019.69995117188
1994-05-27,2966.39990234375
1994-05-30,2966.39990234375
1994-05-31,2970.5
1994-06-01,2931.89990234375
1994-06-02,2980.80004882812
1994-06-03,2997.80004882812
1994-06-06,3009.39990234375
1994-06-07,3004.80004882812
1994-06-08,3038.19995117188
1994-06-09,3028.89990234375
1994-06-10,3055.89990234375
1994-06-13,3016.30004882812
1994-06-14,3039.60009765625
1994-06-15,3045.80004882812
1994-06-16,3030.10009765625
1994-06-17,3022.89990234375
1994-06-20,2971.10009765625
1994-06-21,2940.19995117187
1994-06-22,2960.39990234375
1994-06-23,2942.39990234375
1994-06-24,2876.60009765625
1994-06-27,2899.89990234375
1994-06-28,2909
1994-06-29,2946.30004882812
1994-06-30,2919.19995117187
1994-07-01,2936.39990234375
1994-07-04,2970.39990234375
1994-07-05,2965
1994-07-06,2946.69995117188
1994-07-07,2964.39990234375
1994-07-08,2962.39990234375
1994-07-11,2983.80004882812
1994-07-12,2963.89990234375
1994-07-13,3005.30004882813
1994-07-14,3050.39990234375
1994-07-15,3074.80004882812
1994-07-18,3082
1994-07-19,3091.30004882812
1994-07-20,3077.19995117187
1994-07-21,3095.10009765625
1994-07-22,3114.69995117187
1994-07-25,3106.10009765625
1994-07-26,3117.19995117187
1994-07-27,3082.30004882813
1994-07-28,3095.89990234375
1994-07-29,3082.60009765625
1994-08-01,3097.39990234375
1994-08-02,3157.5
1994-08-03,3160.39990234375
1994-08-04,3150.5
1994-08-05,3167.5
1994-08-08,3171.89990234375
1994-08-09,3168.60009765625
1994-08-10,3167
1994-08-11,3138.19995117187
1994-08-12,3142.30004882813
1994-08-15,3142.19995117187
1994-08-16,3147.30004882812
1994-08-17,3190.30004882812
1994-08-18,3182.60009765625
1994-08-19,3191.39990234375
1994-08-22,3171.30004882812
1994-08-23,3175.10009765625
1994-08-24,3205.19995117187
1994-08-25,3234.19995117187
1994-08-26,3265.10009765625
1994-08-29,3265.10009765625
1994-08-30,3249.60009765625
1994-08-31,3251.30004882813
1994-09-01,3216.5
1994-09-02,3222.69995117187
1994-09-05,3241.5
1994-09-06,3205.39990234375
1994-09-07,3203.89990234375
1994-09-08,3180
1994-09-09,3139.30004882812
1994-09-12,3128.80004882813
1994-09-13,3121.39990234375
1994-09-14,3079.80004882813
